area;ciudad;zona;sector;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;plan_muestreo;fexp
1;10150;001;004;182;1;1;2;2;3;2;3;2;3;2;2;2;2;3;3;3;3;3;2;2;2;2;2;3;2;1013;80,0192346726299
1;10150;001;004;182;2;1;1;1;1;1;2;1;3;2;1;1;1;1;1;1;1;1;2;2;2;3;3;3;3;1013;80,0192346726299
1;10150;001;004;182;3;1;3;2;2;2;3;1;3;1;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;1013;80,0192346726299
1;10150;001;004;232;1;1;2;2;2;2;3;1;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;1;3;1013;80,0192346726299
1;10150;001;004;232;2;1;3;3;2;2;3;1;3;2;1;2;3;2;2;2;2;2;2;2;2;3;2;3;2;1013;80,0192346726299
1;10150;001;004;232;3;1;3;3;2;2;3;1;2;2;1;2;2;2;2;2;2;2;2;2;2;3;3;3;2;1013;80,0192346726299
1;10150;001;004;242;1;1;2;1;3;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;3;3;3;3;1013;80,0192346726299
1;10150;001;004;242;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1013;80,0192346726299
1;10150;001;004;242;3;1;2;2;2;2;3;1;2;1;2;2;2;2;1;2;3;1;2;2;2;2;1;2;2;1013;80,0192346726299
1;10150;001;007;172;1;1;2;2;2;2;2;1;2;1;2;1;2;2;2;2;1;2;2;2;2;3;3;3;3;1013;227,437298603306
1;10150;001;007;172;2;1;2;2;2;2;3;1;2;2;2;1;3;1;2;2;2;2;2;2;2;2;2;2;2;1013;227,437298603306
1;10150;001;007;172;3;1;2;1;2;2;3;1;3;2;1;1;1;1;1;1;2;2;2;1;1;2;1;1;1;1013;227,437298603306
1;10150;001;007;182;1;1;3;2;2;2;3;2;3;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;1013;227,437298603306
1;10150;001;007;182;2;1;2;1;2;2;3;1;3;2;1;1;3;1;2;1;2;2;2;2;2;2;1;2;1;1013;227,437298603306
1;10150;001;007;182;3;1;2;1;3;2;3;1;2;1;1;1;2;2;2;2;2;2;2;2;2;3;2;3;2;1013;227,437298603306
1;10150;001;007;232;1;1;1;2;1;1;3;1;2;1;1;1;1;1;2;1;1;2;2;2;2;3;1;3;1;1013;227,437298603306
1;10150;001;007;232;2;1;2;2;2;2;3;1;2;2;1;2;2;1;2;2;2;1;2;2;1;2;3;3;3;1013;227,437298603306
1;10150;001;007;232;3;1;1;1;1;1;3;2;3;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;3;1013;227,437298603306
1;10150;001;007;242;1;1;3;2;2;2;3;2;2;1;2;2;3;1;2;2;3;2;2;2;2;1;1;1;2;1013;227,437298603306
1;10150;001;007;242;3;1;2;1;2;2;2;1;3;1;1;1;3;3;2;2;2;2;2;2;2;3;3;3;1;1013;227,437298603306
1;10150;002;005;172;2;1;1;2;1;2;2;3;2;2;1;2;3;2;3;2;3;2;2;2;2;1;1;1;2;1012;82,1501340962584
1;10150;002;005;172;3;1;2;2;3;2;2;3;2;3;2;2;2;3;2;2;2;3;2;2;2;3;2;3;2;1012;82,1501340962584
1;10150;002;005;172;4;1;2;2;3;3;2;1;1;1;1;2;3;2;3;3;2;2;2;2;2;3;2;2;2;1012;82,1501340962584
1;10150;002;005;182;1;1;2;2;2;2;3;2;1;1;1;2;2;3;2;2;3;2;2;2;2;2;2;2;3;1012;82,1501340962584
1;10150;002;005;182;3;1;3;1;3;2;2;2;3;3;2;1;2;3;2;2;3;3;2;2;1;3;3;3;3;1012;82,1501340962584
1;10150;002;005;182;4;1;2;1;2;2;2;3;2;1;1;2;2;2;3;3;2;3;2;2;2;2;2;2;2;1012;82,1501340962584
1;10150;002;005;232;1;1;3;2;2;3;2;3;2;2;1;2;3;2;2;2;3;3;2;2;2;3;2;2;3;1012;82,1501340962584
1;10150;002;005;232;2;1;2;1;3;2;2;2;1;2;2;2;3;2;2;2;3;3;2;2;2;2;1;2;2;1012;82,1501340962584
1;10150;002;005;232;3;1;2;2;3;3;2;2;2;1;1;2;2;2;3;2;3;3;2;2;2;3;2;2;2;1012;82,1501340962584
1;10150;002;005;242;1;1;2;1;3;2;2;3;2;1;2;2;3;2;2;2;2;3;2;2;2;3;2;3;2;1012;82,1501340962584
1;10150;002;005;242;2;1;3;2;3;2;2;2;3;2;1;2;3;3;2;2;3;3;2;2;2;3;2;2;3;1012;82,1501340962584
1;10150;002;005;242;3;1;3;1;3;2;2;2;1;2;1;1;2;2;3;2;2;3;2;2;2;3;2;3;2;1012;82,1501340962584
1;10150;003;001;172;2;1;3;3;2;2;3;2;2;1;1;2;2;3;2;2;2;2;2;2;1;2;3;3;3;1013;228,581036106949
1;10150;003;001;172;3;1;2;2;2;2;3;2;2;1;2;2;3;3;2;2;2;3;2;2;2;3;2;2;3;1013;228,581036106949
1;10150;003;001;182;1;1;2;1;2;1;2;2;2;1;1;2;2;3;2;3;2;3;2;2;2;2;2;2;2;1013;228,581036106949
1;10150;003;001;182;3;1;2;1;3;2;2;2;3;2;1;2;2;2;2;3;2;2;2;2;2;2;3;1;2;1013;228,581036106949
1;10150;003;001;182;4;1;2;3;2;1;2;1;2;2;2;1;3;2;3;2;3;2;2;2;2;3;2;2;2;1013;228,581036106949
1;10150;003;001;232;1;1;3;2;2;3;3;2;3;2;1;2;3;2;2;3;3;3;2;2;2;3;2;3;2;1013;228,581036106949
1;10150;003;001;232;2;1;2;1;2;3;2;2;3;2;1;2;3;2;3;2;2;2;2;2;2;3;2;3;2;1013;228,581036106949
1;10150;003;001;232;3;1;3;2;1;2;2;2;1;1;1;2;3;2;2;2;2;3;2;2;2;3;2;2;3;1013;228,581036106949
1;10150;003;001;242;1;1;2;1;3;2;2;1;2;2;1;2;2;2;3;3;3;2;2;2;2;3;2;2;3;1013;228,581036106949
1;10150;003;001;242;2;1;2;1;2;2;3;2;2;2;1;2;3;2;2;3;2;3;2;2;2;2;2;3;2;1013;228,581036106949
1;10150;003;001;242;3;1;2;1;2;1;2;2;2;3;2;2;2;2;2;2;2;2;2;2;1;2;1;2;3;1013;228,581036106949
1;10150;004;002;172;1;1;3;2;1;2;2;2;3;1;2;3;2;2;3;2;3;2;2;2;2;3;1;2;2;1013;230,732579375029
1;10150;004;002;172;2;1;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;2;2;2;2;3;2;3;2;1013;230,732579375029
1;10150;004;002;172;3;1;3;2;3;2;2;2;1;1;2;1;3;2;3;2;2;3;2;2;2;3;1;2;3;1013;230,732579375029
1;10150;004;002;172;3;2;2;3;2;2;3;2;2;2;1;2;3;2;2;3;3;2;2;2;2;2;3;2;3;1013;230,732579375029
1;10150;004;002;182;1;1;2;3;2;2;3;2;1;2;1;2;2;2;3;3;3;2;2;2;2;2;3;2;1;1013;230,732579375029
1;10150;004;002;182;2;1;3;2;3;2;2;1;2;2;1;2;2;2;2;2;3;3;2;2;2;2;2;2;2;1013;230,732579375029
1;10150;004;002;182;3;1;3;2;3;2;2;2;1;1;2;3;2;2;3;2;2;3;2;2;2;3;3;2;2;1013;230,732579375029
1;10150;004;002;232;1;1;3;2;3;2;3;2;2;2;1;2;3;2;3;3;2;2;2;2;2;3;2;2;3;1013;230,732579375029
1;10150;004;002;232;2;1;2;2;2;2;2;2;1;2;1;2;3;2;2;2;2;3;2;2;2;2;1;3;1;1013;230,732579375029
1;10150;004;002;232;3;1;2;2;2;1;2;2;2;2;1;2;3;2;2;2;2;2;2;2;2;3;1;2;1;1013;230,732579375029
1;10150;004;002;242;1;1;2;3;2;2;3;2;3;2;1;1;2;3;3;2;3;2;2;2;2;3;2;2;2;1013;230,732579375029
1;10150;004;002;242;2;1;3;3;2;3;2;3;1;2;1;1;2;3;2;3;3;3;2;2;2;3;2;2;3;1013;230,732579375029
1;10150;004;002;242;3;1;2;1;3;2;2;1;2;2;1;2;2;3;2;2;2;3;2;2;2;2;1;1;2;1013;230,732579375029
1;10150;005;001;172;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;107,935092656927
1;10150;005;001;172;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;107,935092656927
1;10150;005;001;172;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;107,935092656927
1;10150;005;001;182;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3;3;1013;107,935092656927
1;10150;005;001;182;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;2;2;3;1013;107,935092656927
1;10150;005;001;182;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1013;107,935092656927
1;10150;005;001;232;1;1;3;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;1013;107,935092656927
1;10150;005;001;232;2;1;2;2;2;3;3;2;3;2;2;2;2;2;2;3;2;2;2;2;2;3;2;3;3;1013;107,935092656927
1;10150;005;001;232;3;1;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;1013;107,935092656927
1;10150;005;001;242;1;1;2;2;3;2;2;2;1;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1013;107,935092656927
1;10150;005;001;242;2;1;3;3;3;3;3;3;1;1;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;1013;107,935092656927
